cnt,course_cmu_id,course_piazza_id,name,prof,term,course_id,stats_i_answers,stats_net_time,stats_posts,stats_questions,stats_response_time,stats_s_answers,top_user_0_answers,top_user_0_asks,top_user_0_days,top_user_0_posts,top_user_0_user_id,top_user_0_views,top_user_1_answers,top_user_1_asks,top_user_1_days,top_user_1_posts,top_user_1_user_id,top_user_1_views,top_user_2_answers,top_user_2_asks,top_user_2_days,top_user_2_posts,top_user_2_user_id,top_user_2_views
4,48250-A,j70ofulyu544jn,Case Studies in Architecture and Cities,None,Fall 2017,j70ofulyu544jn,,0,5,5,,0,,,,,,,,,,,,,,,,,,
1,54796,j70paqs8osu54f,The Basics of Self-Producing: How to Put Up Your Show in NYC and Get It Reviewed,None,Fall 2017,j70paqs8osu54f,,0,5,5,,0,,,,,,,,,,,,,,,,,,
6,76101-WW,j70sj8uzfbb1za,Interpretation and Argument - WW,None,Fall 2017,j70sj8uzfbb1za,,0,5,5,,0,,,,,,,,,,,,,,,,,,
0,82304-A,j70tdrn53vj4g4,The Francophone World,None,Fall 2017,j70tdrn53vj4g4,,0,5,5,,0,,,,,,,,,,,,,,,,,,
0,82304-A,jckpfysx1w0325,The Francophone World,None,Spring 2018,jckpfysx1w0325,,0,5,5,,0,,,,,,,,,,,,,,,,,,
0,49714-A1,j70tvmpxe0r507,Programming for Online Prototypes,None,Fall 2017,j70tvmpxe0r507,,0,5,5,,0,,,,,,,,,,,,,,,,,,
5,18747-SV,j70ud9txzc34yi,Wireless Device Architecture,Bob Iannucci,Fall 2017,j70ud9txzc34yi,,0,5,5,,0,,,,,,,,,,,,,,,,,,
1,12720-A,j70w4hwpxzt7h9,Water Resources Chemistry,None,Fall 2017,j70w4hwpxzt7h9,,0,5,5,,0,,,,,,,,,,,,,,,,,,
10,18-340,j70w7gljy4pg2,Digital Computing,Shawn Blanton,Fall 2017,j70w7gljy4pg2,42.0,0,125,61,1944.0,2,0.0,12.0,80.0,14.0,iayosu8jgjmjl,22.0,1.0,8.0,67.0,11.0,hkx2uf0ad7k376,44.0,0.0,7.0,51.0,8.0,hkx2ue7jo8l34p,50.0
36,24354-A,j70xbdbwf8f4fa,"Special Topics: Gadgetry: Sensors, Actuators, and Processors","Curtis George Boirum, Jonathan Dyer, Taylor Tabb",Fall 2017,j70xbdbwf8f4fa,34.0,0,118,42,2018.0,7,2.0,10.0,27.0,17.0,hzq78mqcfa05o7,21.0,0.0,5.0,74.0,7.0,ia1z56pwozv5jr,14.0,1.0,5.0,72.0,7.0,hkx2ufs4bw039n,16.0
28,24354-A,jc93cxsd6kt7ad,"Special Topics: Gadgetry: Sensors, Actuators, and Processors","Mark Bedillion, Kevin Wang, Taylor Tabb",Spring 2018,jc93cxsd6kt7ad,104.0,0,262,101,2791.0,6,0.0,16.0,31.0,22.0,ipbrvv9k68k4lx,65.0,0.0,20.0,66.0,21.0,iayotd3qiqi10u,72.0,0.0,12.0,80.0,15.0,iayoszv69ron,74.0
16,18-765,j70xu50b1sc5dv,18-765 Digital Systems Testing and Testable Design,Shawn Blanton,Fall 2017,j70xu50b1sc5dv,38.0,0,150,66,4209.0,0,0.0,7.0,84.0,15.0,iri0st9m78l7m9,60.0,0.0,7.0,148.0,13.0,hkx2ugjzuqh3c0,35.0,0.0,2.0,48.0,4.0,iri13tnzc695r6,58.0
8,79254-A,j70ys34kq44127,1968: The Year Everything Changed (in the U.S. and around the world),None,Fall 2017,j70ys34kq44127,,0,5,5,,0,,,,,,,,,,,,,,,,,,
1,67211-A,j70zputfbtf5v6,Introduction to Business Systems Programming,None,Fall 2017,j70zputfbtf5v6,,0,5,5,,0,,,,,,,,,,,,,,,,,,
2,67211-A,jdev1se3hz6335,Introduction to Business Systems Programming,None,Spring 2018,jdev1se3hz6335,,0,5,5,,0,,,,,,,,,,,,,,,,,,
9,05813,j711lxdobdu1ju,Human Factors,Laura Dabbish,Fall 2017,j711lxdobdu1ju,,0,5,5,,0,,,,,,,,,,,,,,,,,,
11,09715,j712k0yri1m2xk,Physical Chemistry of Macromolecules,None,Fall 2017,j712k0yri1m2xk,,0,6,6,,0,,,,,,,,,,,,,,,,,,
7,76101-A,j713vdjdw683ve,Interpretation and Argument,None,Fall 2017,j713vdjdw683ve,,0,5,5,,0,,,,,,,,,,,,,,,,,,
1,88281-A,j715ur4yoyd46x,Topics in Law: 1st Amendment,None,Fall 2017,j715ur4yoyd46x,,0,5,5,,0,,,,,,,,,,,,,,,,,,
1,06608-A,j71emfhyxp51h9,Safety Issues in Science and Engineering Practice,None,Fall 2017,j71emfhyxp51h9,,0,5,5,,0,,,,,,,,,,,,,,,,,,
4,76100-D,j71xcxihwhp4fy,Reading and Writing in an Academic Context - D,Steven James Moore,Fall 2017,j71xcxihwhp4fy,,0,5,5,,0,,,,,,,,,,,,,,,,,,
1,99101-K2,j71zz1619j576r,Computing @ Carnegie Mellon - K2,Elijah Dies,Fall 2017,j71zz1619j576r,,0,5,5,,0,,,,,,,,,,,,,,,,,,
2,57606-A,j722w4i63vz2e7,Music History for Graduate Students 1,None,Fall 2017,j722w4i63vz2e7,,0,5,5,,0,,,,,,,,,,,,,,,,,,
2,24302-B,j723e1l58623u9,Mechanical Engineering Seminar I - B,None,Fall 2017,j723e1l58623u9,,0,6,6,,0,,,,,,,,,,,,,,,,,,
1,24302-B,jcy14w4c6z76mb,Mechanical Engineering Seminar I - B,None,Spring 2018,jcy14w4c6z76mb,,0,5,5,,0,,,,,,,,,,,,,,,,,,
24,04601-A,j72446wrkgutu,First-Year Seminar,"Fred Ochieng, Lucy-Anna Kelly",Fall 2017,j72446wrkgutu,7.0,0,61,24,2121.0,5,,,,,,,,,,,,,,,,,,
31,04801-E1,j727iua15bh5fz,African Venture Funding,"Samuel Wasswa, David Ross",Fall 2017,j727iua15bh5fz,26.0,0,1826,221,3378.0,120,9.0,8.0,32.0,143.0,irez8xmj3oc74d,167.0,14.0,9.0,114.0,134.0,irf7g00w8n422l,198.0,7.0,4.0,87.0,131.0,irf9dgznd566aq,191.0
3,99101-L2,j7290rebiwk2cg,Computing @ Carnegie Mellon - L2,None,Fall 2017,j7290rebiwk2cg,,0,5,5,,0,,,,,,,,,,,,,,,,,,
3,94811-A1,j729wf2of3r1yd,Strategy Development,None,Fall 2017,j729wf2of3r1yd,,0,5,5,,0,,,,,,,,,,,,,,,,,,
3,95775-A1,j72r31l9o5n4e7,IT Business Leadership,None,Fall 2017,j72r31l9o5n4e7,,0,5,5,,0,,,,,,,,,,,,,,,,,,
13,18-792,j73bx6znbkh3xc,Advanced Digital Signal Processing,"Richard Stern, Raymond Xia, Michelle Mahouski",Fall 2017,j73bx6znbkh3xc,32.0,0,170,68,1685.0,1,1.0,10.0,101.0,22.0,hqwu6pr72gw78m,16.0,0.0,6.0,121.0,15.0,iekyrdsujyk53t,25.0,0.0,8.0,122.0,13.0,hqft6rs6ff56sx,38.0
6,70443-A,j73fef7axfffp,Digital Marketing and Social Media Strategy,None,Fall 2017,j73fef7axfffp,,0,5,5,,0,,,,,,,,,,,,,,,,,,
19,24718-A,j73kn1xdxlm6fu,Computational Fluid Dynamics,"Satbir Singh, Jiazhen Qiao",Fall 2017,j73kn1xdxlm6fu,20.0,0,77,28,769.0,1,,,,,,,,,,,,,,,,,,
2,08606-A,j73pa6w1rsi246,Privacy by Design Project Workshop,None,Fall 2017,j73pa6w1rsi246,,0,5,5,,0,,,,,,,,,,,,,,,,,,
5,80381-A,j73unbn1ful5zo,Meaning in Language,None,Fall 2017,j73unbn1ful5zo,,0,5,5,,0,,,,,,,,,,,,,,,,,,
4,42673-A,j73vx5spzk6jk,Stem Cell Engineering,None,Fall 2017,j73vx5spzk6jk,,0,5,5,,0,,,,,,,,,,,,,,,,,,
